borough,month,trip_type,route_id,period,total_operating_time,total_mileage,average_speed
Bronx,2021-01,LCL/LTD,BX13,Peak,3004208,17650292.4,5.875189867
Bronx,2021-02,LCL/LTD,BX13,Off-Peak,3902089,24925406.4,6.387708328
Bronx,2021-02,LCL/LTD,BX13,Peak,2438894,14073483.6,5.770436764
Bronx,2021-03,LCL/LTD,BX13,Off-Peak,5065095,33128413.2,6.540531461
Bronx,2021-03,LCL/LTD,BX13,Peak,3308087,19468522.8,5.885130228
Bronx,2021-04,LCL/LTD,BX13,Off-Peak,4818375,31416109.2,6.520063133
Bronx,2021-04,LCL/LTD,BX13,Peak,3040477,18250106.4,6.002382652
Bronx,2021-05,LCL/LTD,BX13,Off-Peak,4498935,29439057.6,6.543561443
Bronx,2021-05,LCL/LTD,BX13,Peak,2760600,16614554.4,6.018457727
Bronx,2021-06,LCL/LTD,BX13,Off-Peak,4784813,30690730.8,6.4141965
Bronx,2021-06,LCL/LTD,BX13,Peak,2798924,16555582.8,5.914981186
Bronx,2021-07,LCL/LTD,BX13,Off-Peak,4382337,28422010.8,6.485583103
Bronx,2021-07,LCL/LTD,BX13,Peak,2810992,16586244,5.900494914
Bronx,2021-08,LCL/LTD,BX13,Off-Peak,4415497,28145534.4,6.374261923
Bronx,2021-08,LCL/LTD,BX13,Peak,2767435,16432556.4,5.937829217
Bronx,2021-09,LCL/LTD,BX13,Off-Peak,4365553,27592153.2,6.32042566
Bronx,2021-09,LCL/LTD,BX13,Peak,2827034,16056342,5.679571593
Bronx,2021-10,LCL/LTD,BX13,Off-Peak,4149690,26888547.6,6.479652119
Bronx,2021-10,LCL/LTD,BX13,Peak,2688409,15011701.2,5.58386064
Bronx,2021-11,LCL/LTD,BX13,Off-Peak,4338212,28175911.2,6.494821184
Bronx,2021-11,LCL/LTD,BX13,Peak,2649172,14734728,5.562012584
Bronx,2021-12,LCL/LTD,BX13,Off-Peak,4704562,31143506.4,6.619852475
Bronx,2021-12,LCL/LTD,BX13,Peak,2927834,17098156.8,5.839865512
Bronx,2022-01,LCL/LTD,BX13,Off-Peak,4301804,28756281.6,6.684702883
Bronx,2022-01,LCL/LTD,BX13,Peak,2794591,16523089.2,5.912525017
Bronx,2022-02,LCL/LTD,BX13,Off-Peak,4364101,28216130.4,6.465508108
Bronx,2022-02,LCL/LTD,BX13,Peak,2893661,16432621.2,5.678834252
Bronx,2022-03,LCL/LTD,BX13,Off-Peak,5222191,33935101.2,6.498249719
Bronx,2022-03,LCL/LTD,BX13,Peak,3504793,19569139.2,5.583536374
