borough,month,trip_type,route_id,period,total_operating_time,total_mileage,average_speed
Bronx,2018-01,LCL/LTD,BX22,Off-Peak,5849008,37710316.8,6.447301286
Bronx,2018-01,LCL/LTD,BX22,Peak,3459561,20004966,5.782515759
Bronx,2018-02,LCL/LTD,BX22,Off-Peak,5423173,35156725.2,6.482685542
Bronx,2018-02,LCL/LTD,BX22,Peak,3248978,18881247.6,5.811442121
Bronx,2018-03,LCL/LTD,BX22,Off-Peak,6042639,38848402.8,6.429045786
Bronx,2018-03,LCL/LTD,BX22,Peak,3438970,19910930.4,5.789794735
Bronx,2018-04,LCL/LTD,BX22,Off-Peak,5762839,37295010,6.471638371
Bronx,2018-04,LCL/LTD,BX22,Peak,3310955,18908722.8,5.710957352
Bronx,2018-05,LCL/LTD,BX22,Off-Peak,6184542,38823584.4,6.277519726
Bronx,2018-05,LCL/LTD,BX22,Peak,3372491,18386420.4,5.451881236
Bronx,2018-06,LCL/LTD,BX22,Off-Peak,5786218,36814201.2,6.362394435
Bronx,2018-06,LCL/LTD,BX22,Peak,3297259,18930240,5.741205043
Bronx,2018-07,LCL/LTD,BX22,Off-Peak,5850321,37916924.4,6.481169905
Bronx,2018-07,LCL/LTD,BX22,Peak,2924533,17364596.4,5.937562134
Bronx,2018-08,LCL/LTD,BX22,Off-Peak,6317852,41137156.8,6.511256801
Bronx,2018-08,LCL/LTD,BX22,Peak,2890625,17459424,6.040016951
Bronx,2018-09,LCL/LTD,BX22,Off-Peak,5472656,34665696,6.334345883
Bronx,2018-09,LCL/LTD,BX22,Peak,3097466,17355042,5.60298063
Bronx,2018-10,LCL/LTD,BX22,Off-Peak,6480380,41010310.8,6.328380558
Bronx,2018-10,LCL/LTD,BX22,Peak,3758115,20899594.8,5.561190863
Bronx,2018-11,LCL/LTD,BX22,Off-Peak,5588459,35289889.2,6.314780014
Bronx,2018-11,LCL/LTD,BX22,Peak,3044073,16650619.2,5.469848851
Bronx,2018-12,LCL/LTD,BX22,Off-Peak,5742447,36604854,6.374434801
Bronx,2018-12,LCL/LTD,BX22,Peak,3180358,18105098.4,5.692786284
Bronx,2019-01,LCL/LTD,BX22,Off-Peak,6482009,41946080.4,6.471154298
Bronx,2019-01,LCL/LTD,BX22,Peak,3769872,22013298,5.839269344
Bronx,2019-02,LCL/LTD,BX22,Off-Peak,5768121,36918248.4,6.400394236
Bronx,2019-02,LCL/LTD,BX22,Peak,3429887,19569182.4,5.705488956
Bronx,2019-03,LCL/LTD,BX22,Off-Peak,6502862,40994654.4,6.304094167
Bronx,2019-03,LCL/LTD,BX22,Peak,3548426,19973620.8,5.628867785
Bronx,2019-04,LCL/LTD,BX22,Off-Peak,6213578,38949447.6,6.268441082
Bronx,2019-04,LCL/LTD,BX22,Peak,3490214,20006452.8,5.732156481
Bronx,2019-05,LCL/LTD,BX22,Off-Peak,6003186,37579633.2,6.259948168
Bronx,2019-05,LCL/LTD,BX22,Peak,3665507,20231676,5.519475478
Bronx,2019-06,LCL/LTD,BX22,Off-Peak,5636580,35352892.8,6.272046667
Bronx,2019-06,LCL/LTD,BX22,Peak,3324345,18774406.8,5.64755066
Bronx,2019-07,LCL/LTD,BX22,Off-Peak,6001734,37895778,6.314138214
Bronx,2019-07,LCL/LTD,BX22,Peak,2857369,16652559.6,5.827934579
Bronx,2019-08,LCL/LTD,BX22,Off-Peak,5694805,36519822,6.412830992
Bronx,2019-08,LCL/LTD,BX22,Peak,2913582,17278768.8,5.930421316
Bronx,2019-09,LCL/LTD,BX22,Off-Peak,5787589,35812951.2,6.187887772
Bronx,2019-09,LCL/LTD,BX22,Peak,3264764,17933414.4,5.493020139
Bronx,2019-10,LCL/LTD,BX22,Off-Peak,6842743,43311128.4,6.329498039
Bronx,2019-10,LCL/LTD,BX22,Peak,3703882,20660666.4,5.578111398
Bronx,2019-11,LCL/LTD,BX22,Off-Peak,5974155,37603634.4,6.294385465
Bronx,2019-11,LCL/LTD,BX22,Peak,3182908,17876415.6,5.616378356
Bronx,2019-12,LCL/LTD,BX22,Off-Peak,5999904,38032401.6,6.338835021
Bronx,2019-12,LCL/LTD,BX22,Peak,3196191,18309402,5.728506838
Bronx,2020-01,LCL/LTD,BX22,Off-Peak,6578065,42421100.4,6.448872184
Bronx,2020-01,LCL/LTD,BX22,Peak,4077017,23709657.6,5.815442418
Bronx,2020-02,LCL/LTD,BX22,Off-Peak,6161086,39552937.2,6.419799561
Bronx,2020-02,LCL/LTD,BX22,Peak,3424558,19770969.6,5.773290918
Bronx,2020-03,LCL/LTD,BX22,Off-Peak,5701585,38096920.8,6.681812303
Bronx,2020-03,LCL/LTD,BX22,Peak,3258614,19849046.4,6.091254257
Bronx,2020-04,LCL/LTD,BX22,Off-Peak,3478343,26482212,7.613456177
Bronx,2020-04,LCL/LTD,BX22,Peak,1426047,10342342.8,7.252455775
Bronx,2020-05,LCL/LTD,BX22,Off-Peak,3551600,26400538.8,7.433421219
Bronx,2020-05,LCL/LTD,BX22,Peak,1393090,9887083.2,7.097232196
Bronx,2020-06,LCL/LTD,BX22,Off-Peak,4560695,31787744.4,6.969934275
Bronx,2020-06,LCL/LTD,BX22,Peak,2828488,18325162.8,6.478784001
Bronx,2020-07,LCL/LTD,BX22,Off-Peak,5495834,37235235.6,6.775174723
Bronx,2020-07,LCL/LTD,BX22,Peak,2781553,17728639.2,6.373647815
Bronx,2020-08,LCL/LTD,BX22,Off-Peak,5336746,35745526.8,6.698000392
Bronx,2020-08,LCL/LTD,BX22,Peak,2727778,17059492.8,6.253988704
Bronx,2020-09,LCL/LTD,BX22,Off-Peak,5824792,38458663.2,6.60258138
