borough,month,trip_type,route_id,period,total_operating_time,total_mileage,average_speed
Bronx,2020-09,LCL/LTD,BX22,Peak,3241715,19836975.6,6.119284268
Bronx,2020-10,LCL/LTD,BX22,Off-Peak,6090917,40420818,6.636245084
Bronx,2020-10,LCL/LTD,BX22,Peak,3641008,22295991.6,6.123576658
Bronx,2020-11,LCL/LTD,BX22,Off-Peak,5473931,36843519.6,6.730724154
Bronx,2020-11,LCL/LTD,BX22,Peak,3113646,19285358.4,6.193818565
Bronx,2020-12,LCL/LTD,BX22,Off-Peak,5634109,37649019.6,6.682337811
Bronx,2020-12,LCL/LTD,BX22,Peak,3186268,19742000.4,6.195963554
Bronx,2021-01,LCL/LTD,BX22,Off-Peak,5451046,37112857.2,6.808391857
Bronx,2021-01,LCL/LTD,BX22,Peak,3131526,19629230.4,6.268263588
Bronx,2021-02,LCL/LTD,BX22,Off-Peak,4790346,31953790.8,6.670455704
Bronx,2021-02,LCL/LTD,BX22,Peak,2718043,16665300,6.131359953
Bronx,2021-03,LCL/LTD,BX22,Off-Peak,6094913,40290015.6,6.610433258
Bronx,2021-03,LCL/LTD,BX22,Peak,3617396,22153269.6,6.124093022
Bronx,2021-04,LCL/LTD,BX22,Off-Peak,5708239,37395766.8,6.551191497
Bronx,2021-04,LCL/LTD,BX22,Peak,3314542,20082859.2,6.05901485
Bronx,2021-05,LCL/LTD,BX22,Off-Peak,5138340,33372338.4,6.494770373
Bronx,2021-05,LCL/LTD,BX22,Peak,3030966,18373557.6,6.061947775
Bronx,2021-06,LCL/LTD,BX22,Off-Peak,5590466,35750016,6.394818607
Bronx,2021-06,LCL/LTD,BX22,Peak,3314889,20005819.2,6.03514
Bronx,2021-07,LCL/LTD,BX22,Off-Peak,5027215,32615827.2,6.487852061
Bronx,2021-07,LCL/LTD,BX22,Peak,2631766,15882379.2,6.034875137
Bronx,2021-08,LCL/LTD,BX22,Off-Peak,5183600,34094476.8,6.57737418
Bronx,2021-08,LCL/LTD,BX22,Peak,2658701,16327695.6,6.141230473
Bronx,2021-09,LCL/LTD,BX22,Off-Peak,4981031,31383496.8,6.300602586
Bronx,2021-09,LCL/LTD,BX22,Peak,2635458,15328371.6,5.816207885
Bronx,2021-10,LCL/LTD,BX22,Off-Peak,4953285,31215700.8,6.302019932
Bronx,2021-10,LCL/LTD,BX22,Peak,2772678,16038489.6,5.784476091
Bronx,2021-11,LCL/LTD,BX22,Off-Peak,5749011,36435337.2,6.337670462
Bronx,2021-11,LCL/LTD,BX22,Peak,3204284,18483156,5.768263987
Bronx,2021-12,LCL/LTD,BX22,Off-Peak,6079912,38801851.2,6.381975792
Bronx,2021-12,LCL/LTD,BX22,Peak,3386187,20021083.2,5.912574586
Bronx,2022-01,LCL/LTD,BX22,Off-Peak,5999423,39591424.8,6.599205424
Bronx,2022-01,LCL/LTD,BX22,Peak,3386246,20422328.4,6.0309642
Bronx,2022-02,LCL/LTD,BX22,Off-Peak,5508824,35347510.8,6.416525705
Bronx,2022-02,LCL/LTD,BX22,Peak,3176962,18492318,5.820755174
Bronx,2022-03,LCL/LTD,BX22,Off-Peak,6332603,39500035.2,6.237566953
Bronx,2022-03,LCL/LTD,BX22,Peak,3665708,21311074.8,5.813631309
