month,borough,trip_type,route_id,period,total_operating_time,total_mileage,average_speed
2018-02,Bronx,SBS,BX6-SBS,Peak,2573206,17537378.4,6.815380657
2018-03,Bronx,SBS,BX12-SBS,Off-Peak,10745720,103965955.2,9.675103688
2018-03,Bronx,SBS,BX12-SBS,Peak,5742475,49321828.8,8.588949678
2018-03,Bronx,SBS,BX41-SBS,Off-Peak,4912476,42286356,8.607951672
2018-03,Bronx,SBS,BX41-SBS,Peak,2554327,20743329.6,8.120859076
2018-03,Bronx,SBS,BX6-SBS,Off-Peak,4302940,33045796.8,7.679818171
2018-03,Bronx,SBS,BX6-SBS,Peak,2332816,15817500,6.78043189
2018-04,Bronx,SBS,BX12-SBS,Off-Peak,10626873,102674962.8,9.661822702
2018-04,Bronx,SBS,BX12-SBS,Peak,5748315,50450328,8.776541995
2018-04,Bronx,SBS,BX41-SBS,Off-Peak,4736318,40795516.8,8.613339898
2018-04,Bronx,SBS,BX41-SBS,Peak,2408502,19389297.6,8.050355615
2018-04,Bronx,SBS,BX6-SBS,Off-Peak,4959521,39121430.4,7.88814694
2018-04,Bronx,SBS,BX6-SBS,Peak,2578122,17860665.6,6.927781385
2018-05,Bronx,SBS,BX12-SBS,Off-Peak,10139755,93956868,9.266187201
2018-05,Bronx,SBS,BX12-SBS,Peak,5043780,42110618.4,8.349019664
2018-05,Bronx,SBS,BX41-SBS,Off-Peak,4699207,39937284,8.498728402
2018-05,Bronx,SBS,BX41-SBS,Peak,2391146,18894906,7.902029403
2018-05,Bronx,SBS,BX6-SBS,Off-Peak,4985639,38394838.8,7.701086822
2018-05,Bronx,SBS,BX6-SBS,Peak,2456577,16837578,6.854081106
2018-06,Bronx,SBS,BX12-SBS,Off-Peak,9763395,91463104.8,9.367961124
2018-06,Bronx,SBS,BX12-SBS,Peak,5239170,45540666,8.692343635
2018-06,Bronx,SBS,BX41-SBS,Off-Peak,4699801,40254224.4,8.565091245
2018-06,Bronx,SBS,BX41-SBS,Peak,2335795,19242583.2,8.238130144
2018-06,Bronx,SBS,BX6-SBS,Off-Peak,5013257,38609103.6,7.701401225
2018-06,Bronx,SBS,BX6-SBS,Peak,2595342,18201344.4,7.013081282
2018-07,Bronx,SBS,BX12-SBS,Off-Peak,11035894,107482752,9.739378794
2018-07,Bronx,SBS,BX12-SBS,Peak,5203772,48985542,9.413468153
2018-07,Bronx,SBS,BX41-SBS,Off-Peak,4798859,42003655.2,8.752842124
2018-07,Bronx,SBS,BX41-SBS,Peak,2558195,21678123.6,8.473991858
2018-07,Bronx,SBS,BX6-SBS,Off-Peak,4926060,37625824.8,7.638117441
2018-07,Bronx,SBS,BX6-SBS,Peak,2877012,20074111.2,6.97741657
2018-08,Bronx,SBS,BX12-SBS,Off-Peak,11700037,114541376.4,9.789830271
2018-08,Bronx,SBS,BX12-SBS,Peak,5638016,54013068,9.580155147
