borough,month,borough,trip_type,route_id,period,total_operating_time,total_mileage,average_speed
Bronx,2020-10,Bronx,LCL/LTD,BX29,Off-Peak,1620740,25510104,15.739788
Bronx,2020-10,Bronx,LCL/LTD,BX29,Peak,891732,13486381.2,15.12380536
Bronx,2020-11,Bronx,LCL/LTD,BX29,Off-Peak,1491207,24035500.8,16.11815181
Bronx,2020-11,Bronx,LCL/LTD,BX29,Peak,816053,12499444.8,15.31695221
Bronx,2020-12,Bronx,LCL/LTD,BX29,Off-Peak,1673130,26453768.4,15.81094619
Bronx,2020-12,Bronx,LCL/LTD,BX29,Peak,848008,12921501.6,15.23747606
Bronx,2021-01,Bronx,LCL/LTD,BX29,Off-Peak,1505879,23884894.8,15.86109827
Bronx,2021-01,Bronx,LCL/LTD,BX29,Peak,808822,12652142.4,15.64267836
Bronx,2021-02,Bronx,LCL/LTD,BX29,Off-Peak,1405277,21760718.4,15.48500289
Bronx,2021-02,Bronx,LCL/LTD,BX29,Peak,702685,10730383.2,15.27054541
Bronx,2021-03,Bronx,LCL/LTD,BX29,Off-Peak,1576624,24531332.4,15.55940567
Bronx,2021-03,Bronx,LCL/LTD,BX29,Peak,779466,11983950,15.37456412
Bronx,2021-04,Bronx,LCL/LTD,BX29,Off-Peak,1628727,24813223.2,15.23473437
Bronx,2021-04,Bronx,LCL/LTD,BX29,Peak,848642,12654655.2,14.91165321
Bronx,2021-05,Bronx,LCL/LTD,BX29,Off-Peak,1465570,21884929.2,14.93270823
Bronx,2021-05,Bronx,LCL/LTD,BX29,Peak,802558,11756844,14.64921414
Bronx,2021-06,Bronx,LCL/LTD,BX29,Off-Peak,1595700,23686909.2,14.84421207
Bronx,2021-06,Bronx,LCL/LTD,BX29,Peak,867390,12604402.8,14.53141355
Bronx,2021-07,Bronx,LCL/LTD,BX29,Off-Peak,1440946,21526480.8,14.93913082
Bronx,2021-07,Bronx,LCL/LTD,BX29,Peak,827608,12009571.2,14.51118307
Bronx,2021-08,Bronx,LCL/LTD,BX29,Off-Peak,1275639,19238947.2,15.0818117
Bronx,2021-08,Bronx,LCL/LTD,BX29,Peak,780924,11465229.6,14.68162023
Bronx,2021-09,Bronx,LCL/LTD,BX29,Off-Peak,1454208,21189024,14.57083443
Bronx,2021-09,Bronx,LCL/LTD,BX29,Peak,793052,11336212.8,14.29441298
Bronx,2021-10,Bronx,LCL/LTD,BX29,Off-Peak,1400413,20674972.8,14.76348249
Bronx,2021-10,Bronx,LCL/LTD,BX29,Peak,748081,10701547.2,14.30533218
Bronx,2021-11,Bronx,LCL/LTD,BX29,Off-Peak,1305359,19344276,14.81912332
Bronx,2021-11,Bronx,LCL/LTD,BX29,Peak,753593,10799593.2,14.3308035
Bronx,2021-12,Bronx,LCL/LTD,BX29,Off-Peak,1585455,23854334.4,15.04573413
Bronx,2021-12,Bronx,LCL/LTD,BX29,Peak,879556,12927247.2,14.69746918
Bronx,2022-01,Bronx,LCL/LTD,BX29,Off-Peak,1211284,18493754.4,15.26789291
Bronx,2022-01,Bronx,LCL/LTD,BX29,Peak,762893,11222769.6,14.71080427
Bronx,2022-02,Bronx,LCL/LTD,BX29,Off-Peak,1219409,18642038.4,15.28776514
Bronx,2022-02,Bronx,LCL/LTD,BX29,Peak,712060,10656558,14.96581468
Bronx,2022-03,Bronx,LCL/LTD,BX29,Off-Peak,1521448,22773250.8,14.96814272
Bronx,2022-03,Bronx,LCL/LTD,BX29,Peak,798561,11617495.2,14.54803728
