Date,Lcl_Bus_Speeds,SBS_Bus_Speeds
2020-01,5.846504123,
2020-01,9.590468886,
2020-01,5.694527285,
2020-01,7.730252338,
2020-01,6.109746225,
2020-01,6.165926491,
2020-01,7.884685214,
2020-01,5.810536388,
2020-02,6.571151673,
2020-02,7.587473347,
2020-02,5.212758483,
2020-02,7.605441659,
2020-02,5.646781768,
2020-02,5.477842248,
2020-02,7.754109578,
2020-02,6.200329727,
2020-02,4.867075498,
2020-02,5.461481358,
2020-02,7.227420008,
2020-02,6.066350624,
2020-02,5.773290918,
2020-02,10.94604833,
2020-02,8.785547008,
2020-02,6.421788818,
2020-02,6.524204773,
2020-02,6.194731591,
2020-02,14.57687134,
2020-02,6.292776425,
2020-02,6.868374085,
2020-02,7.002299827,
2020-02,5.205413944,
2020-02,5.515124151,
2020-02,6.566960256,
2020-02,5.136606478,
2020-02,5.656097912,
2020-02,6.699503587,
2020-02,5.971555439,
2020-02,5.669910687,
2020-02,5.873921504,
2020-02,6.79722917,
2020-02,5.868347778,
2020-02,9.57847186,
2020-02,5.584493013,
2020-02,7.841068914,
2020-02,6.019638514,
2020-02,6.002502212,
2020-02,7.893894903,
2020-02,5.767631501,
2020-03,6.964615271,
2020-03,8.377337807,
2020-03,5.745008613,
2020-03,8.337637394,
2020-03,6.085051692,
2020-03,5.887341541,
2020-03,8.814298529,
2020-03,6.653363663,
2020-03,5.126503897,
2020-03,5.755307639,
2020-03,7.926240831,
2020-03,6.545659612,
2020-03,6.091254257,
2020-03,11.31672428,
2020-03,9.154895523,
2020-03,6.804437394,
2020-03,6.986932081,
2020-03,6.632975759,
2020-03,15.02891691,
2020-03,7.074235412,
2020-03,7.38748907,
2020-03,7.618825437,
2020-03,5.68556004,
2020-03,6.018902408,
2020-03,7.393923863,
2020-03,5.749265709,
2020-03,6.116352245,
2020-03,7.079191944,
2020-03,6.270616084,
2020-03,6.186577744,
2020-03,6.099376807,
2020-03,7.349067592,
2020-03,6.149123622,
2020-03,10.29840887,
2020-03,6.064420025,
2020-03,8.487013287,
2020-03,6.422488487,
2020-03,6.53536194,
2020-03,8.070751358,
2020-03,6.088829942,
2020-04,7.699181863,
2020-04,9.867126994,
2020-04,6.663657489,
2020-04,10.46438184,
2020-04,6.922364026,
2020-04,6.389657571,
2020-04,10.7020111,
2020-04,7.90085517,
2020-04,5.82841466,
2020-04,6.511315208,
2020-04,7.755623676,
2020-04,7.252455775,
2020-04,11.87303771,
2020-04,10.58148002,
2020-04,7.911537567,
2020-04,7.872237624,
2020-04,7.524920424,
2020-04,15.12107119,
2020-04,8.24217826,
2020-04,8.28281577,
2020-04,8.863897014,
2020-04,6.973464017,
2020-04,7.916275429,
2020-04,8.897709618,
2020-04,6.880796664,
2020-04,6.751469924,
2020-04,8.065952299,
2020-04,7.147003837,
2020-04,6.976018087,
2020-04,7.215852797,
2020-04,8.299817804,
2020-04,7.221249508,
2020-04,11.06085968,
2020-04,7.180756137,
2020-04,10.62753871,
2020-04,7.609950893,
2020-04,7.616906346,
2020-04,9.133572435,
2020-04,6.856311301,
2020-05,7.427325698,
2020-05,9.466439842,
2020-05,6.353715408,
2020-05,10.04549682,
2020-05,6.752644881,
2020-05,6.194843707,
2020-05,10.29289198,
2020-05,7.529286893,
2020-05,5.719209229,
2020-05,6.418610516,
2020-05,7.432044372,
2020-05,7.097232196,
2020-05,11.5627441,
2020-05,10.57415226,
2020-05,7.706889339,
2020-05,7.630767122,
2020-05,7.3452054,
2020-05,14.3971073,
2020-05,7.863065136,
2020-05,8.063184296,
2020-05,8.680704347,
2020-05,6.371989335,
2020-05,7.509639082,
2020-05,8.308965899,
2020-05,6.606992213,
2020-05,6.554299831,
2020-05,7.933237852,
2020-05,7.044617071,
2020-05,6.609413032,
2020-05,6.958207586,
2020-05,8.000310975,
2020-05,7.099870142,
2020-05,10.79003033,
2020-05,6.726579722,
2020-05,10.35133572,
2020-05,7.49531813,
2020-05,7.408326297,
2020-05,8.979409788,
2020-05,6.689380126,
2020-06,7.288908769,
2020-06,8.898495378,
2020-06,5.860995497,
2020-06,8.811949186,
2020-06,6.250500666,
2020-06,6.151016543,
2020-06,9.227092911,
2020-06,6.958014982,
2020-06,5.161238683,
2020-06,6.072771089,
2020-06,8.824409392,
2020-06,6.641919626,
2020-06,6.478784001,
2020-06,11.69649109,
2020-06,9.766365429,
2020-06,7.16788786,
2020-06,7.241959269,
2020-06,6.785281597,
2020-06,14.78397998,
2020-06,7.27979762,
2020-06,7.649995093,
2020-06,7.867787628,
2020-06,5.881994937,
2020-06,6.401534741,
2020-06,7.460809224,
2020-06,5.90271,
2020-06,6.278063892,
2020-06,7.380232747,
