month,borough,trip_type,route_id,period,total_operating_time,total_mileage,average_speed
2015-04,Bronx,LCL/LTD,All,Off-Peak,259914338,1867966448,7.186854187
2015-04,Bronx,LCL/LTD,All,Peak,134645479,885639153.6,6.577563244
2015-04,Bronx,SBS,All,Off-Peak,16136761,155685279.6,9.647864252
2015-04,Bronx,SBS,All,Peak,8816076,78153674.4,8.864904794
2015-04,Brooklyn,EXP,All,Off-Peak,10809475,139465868.4,12.90218705
2015-04,Brooklyn,EXP,All,Peak,11180107,135274330.8,12.09955601
2015-04,Brooklyn,LCL/LTD,All,Off-Peak,416068541,3073487749,7.386974612
2015-04,Brooklyn,LCL/LTD,All,Peak,212421814,1410403943,6.639637974
2015-04,Brooklyn,SBS,All,Off-Peak,10939715,100324832.4,9.170698908
2015-04,Brooklyn,SBS,All,Peak,6206043,54316011.6,8.752116542
2015-04,Manhattan,LCL/LTD,All,Off-Peak,225296272,1307987935,5.805635058
2015-04,Manhattan,LCL/LTD,All,Peak,113013428,603254347.2,5.337899733
2015-04,Manhattan,SBS,All,Off-Peak,26635538,222569348.4,8.356104855
2015-04,Manhattan,SBS,All,Peak,13301360,99667933.2,7.493063356
2015-04,Queens,EXP,All,Off-Peak,8614176,123387958.8,14.32382607
2015-04,Queens,EXP,All,Peak,16574518,207065340,12.49299316
2015-04,Queens,LCL/LTD,All,Off-Peak,444053108,4149931180,9.345573997
2015-04,Queens,LCL/LTD,All,Peak,238146374,2015107582,8.461634531
2015-04,Staten Island,EXP,All,Off-Peak,33168624,547845768,16.5169881
2015-04,Staten Island,EXP,All,Peak,30647142,470177064,15.3416284
2015-04,Staten Island,LCL/LTD,All,Off-Peak,56890980,688182055.2,12.09650555
2015-04,Staten Island,LCL/LTD,All,Peak,30404400,356135616,11.71329202
2015-04,Staten Island,SBS,All,Off-Peak,8883850,137208952.8,15.44476244
2015-04,Staten Island,SBS,All,Peak,5335774,81022543.2,15.18477792
2015-05,Bronx,EXP,All,Off-Peak,26806146,335924665.2,12.53162858
2015-05,Bronx,EXP,All,Peak,21726364,231057090,10.63487153
2015-05,Bronx,LCL/LTD,All,Off-Peak,242279586,1718886679,7.094640979
2015-05,Bronx,LCL/LTD,All,Peak,125141913,811645110,6.485797528
2015-05,Bronx,SBS,All,Off-Peak,15581038,147791667.6,9.485354416
2015-05,Bronx,SBS,All,Peak,8169960,71738650.8,8.780783602
2015-05,Brooklyn,EXP,All,Off-Peak,10030362,125474839.2,12.50950257
2015-05,Brooklyn,EXP,All,Peak,9812348,113927691.6,11.61064524
2015-05,Brooklyn,LCL/LTD,All,Off-Peak,389351522,2834527842,7.280125239
2015-05,Brooklyn,LCL/LTD,All,Peak,197001307,1280397787,6.499438033
2015-05,Brooklyn,SBS,All,Off-Peak,9989396,91487502,9.158461833
2015-05,Brooklyn,SBS,All,Peak,6013656,52423963.2,8.717486201
2015-05,Manhattan,LCL/LTD,All,Off-Peak,198218539,1125935143,5.680271628
2015-05,Manhattan,LCL/LTD,All,Peak,97681095,509101675.2,5.211875186
2015-05,Manhattan,SBS,All,Off-Peak,23235671,190228309.2,8.186908362
2015-05,Manhattan,SBS,All,Peak,11624458,83199884.4,7.157313003
2015-05,Queens,EXP,All,Off-Peak,8007685,111815161.2,13.96348148
2015-05,Queens,EXP,All,Peak,15297562,180288255.6,11.78542408
2015-05,Queens,LCL/LTD,All,Off-Peak,404118264,3717034614,9.197888205
2015-05,Queens,LCL/LTD,All,Peak,212906232,1755294142,8.244446981
2015-05,Staten Island,EXP,All,Off-Peak,28776794,464191930.8,16.13077297
2015-05,Staten Island,EXP,All,Peak,25427102,372753190.8,14.65968048
2015-05,Staten Island,LCL/LTD,All,Off-Peak,53184225,631735012.8,11.87824045
2015-05,Staten Island,LCL/LTD,All,Peak,28966731,331736544,11.45232936
2015-05,Staten Island,SBS,All,Off-Peak,8188063,124108214.4,15.15721293
2015-05,Staten Island,SBS,All,Peak,4980544,73333756.8,14.72404557
2015-06,Bronx,EXP,All,Off-Peak,29077752,371841566.4,12.78783746
2015-06,Bronx,EXP,All,Peak,22866996,254239772.4,11.11819727
2015-06,Bronx,LCL/LTD,All,Off-Peak,263215652,1877406685,7.132579962
2015-06,Bronx,LCL/LTD,All,Peak,137326959,902455696.8,6.571584366
2015-06,Bronx,SBS,All,Off-Peak,16914186,158310331.2,9.359618677
2015-06,Bronx,SBS,All,Peak,8906023,78790413.6,8.846868417
2015-06,Brooklyn,EXP,All,Off-Peak,10219002,129068190,12.63021477
2015-06,Brooklyn,EXP,All,Peak,10189137,117985680,11.57955576
2015-06,Brooklyn,LCL/LTD,All,Off-Peak,421957814,3082044978,7.304154292
2015-06,Brooklyn,LCL/LTD,All,Peak,213271717,1396823238,6.549500598
2015-06,Brooklyn,SBS,All,Off-Peak,10763832,98481067.2,9.149257179
2015-06,Brooklyn,SBS,All,Peak,6371288,55618725.6,8.729588994
2015-06,Manhattan,LCL/LTD,All,Off-Peak,216167183,1240812893,5.740061352
2015-06,Manhattan,LCL/LTD,All,Peak,109309162,578861211.6,5.295633056
2015-06,Manhattan,SBS,All,Off-Peak,26830614,219642861.6,8.186277869
2015-06,Manhattan,SBS,All,Peak,12992596,94584427.2,7.279871336
2015-06,Queens,EXP,All,Off-Peak,9035706,127582887.6,14.11985822
2015-06,Queens,EXP,All,Peak,16714604,196839734.4,11.77651199
2015-06,Queens,LCL/LTD,All,Off-Peak,444575682,4119574378,9.266306153
2015-06,Queens,LCL/LTD,All,Peak,235074497,1969152152,8.376715371
2015-06,Staten Island,EXP,All,Off-Peak,31177854,507249579.6,16.2695476
2015-06,Staten Island,EXP,All,Peak,26886367,401726188.8,14.94163153
2015-06,Staten Island,LCL/LTD,All,Off-Peak,56082674,672237428.4,11.9865438
2015-06,Staten Island,LCL/LTD,All,Peak,30094449,349725315.6,11.62092436
2015-06,Staten Island,SBS,All,Off-Peak,9179533,139418222.4,15.18794283
2015-06,Staten Island,SBS,All,Peak,5593069,82921680,14.82579242
2015-07,Bronx,EXP,All,Off-Peak,28634341,380852402.4,13.30054714
2015-07,Bronx,EXP,All,Peak,21956561,257567562,11.73077888
2015-07,Bronx,LCL/LTD,All,Off-Peak,265378843,1915775917,7.219022796
2015-07,Bronx,LCL/LTD,All,Peak,138222298,930179415.6,6.729590153
2015-07,Bronx,SBS,All,Off-Peak,15872868,147910755.6,9.318464414
2015-07,Bronx,SBS,All,Peak,8145974,72493549.2,8.899310162
2015-07,Brooklyn,EXP,All,Off-Peak,10400945,134691289.2,12.9499088
2015-07,Brooklyn,EXP,All,Peak,9868162,120100212,12.1704743
2015-07,Brooklyn,LCL/LTD,All,Off-Peak,420834324,3110836446,7.392069203
2015-07,Brooklyn,LCL/LTD,All,Peak,213387037,1428764818,6.695649547
2015-07,Brooklyn,SBS,All,Off-Peak,9360779,86617328.4,9.253217964
2015-07,Brooklyn,SBS,All,Peak,5127922,45285796.8,8.831217948
2015-07,Manhattan,LCL/LTD,All,Off-Peak,216960763,1255969267,5.788923535
2015-07,Manhattan,LCL/LTD,All,Peak,107488411,579215023.2,5.388627647
2015-07,Manhattan,SBS,All,Off-Peak,33920725,271286852.4,7.997672585
2015-07,Manhattan,SBS,All,Peak,17081961,124415028,7.283415997
2015-07,Queens,EXP,All,Off-Peak,8528800,121932352.8,14.29654263
2015-07,Queens,EXP,All,Peak,15738673,198565138.8,12.61638378
2015-07,Queens,LCL/LTD,All,Off-Peak,432184184,4056360199,9.385721064
2015-07,Queens,LCL/LTD,All,Peak,227882072,1948339206,8.549769576
2015-07,Staten Island,EXP,All,Off-Peak,30661933,517689223.2,16.88377648
2015-07,Staten Island,EXP,All,Peak,27856242,435588483.6,15.63701534
2015-07,Staten Island,LCL/LTD,All,Off-Peak,53957293,660795372,12.24663684
2015-07,Staten Island,LCL/LTD,All,Peak,28898145,347362113.6,12.02022184
2015-07,Staten Island,SBS,All,Off-Peak,9310311,142626621.6,15.31921131
2015-07,Staten Island,SBS,All,Peak,5638188,84079778.4,14.91255318
2015-08,Bronx,EXP,All,Off-Peak,27352759,367046899.2,13.41900827
2015-08,Bronx,EXP,All,Peak,22054059,266685213.6,12.09234153
2015-08,Bronx,LCL/LTD,All,Off-Peak,255045206,1845943063,7.237709315
2015-08,Bronx,LCL/LTD,All,Peak,133117589,901423753.2,6.771635213
2015-08,Bronx,SBS,All,Off-Peak,15515472,146830780.8,9.463507188
2015-08,Bronx,SBS,All,Peak,7896396,71544661.2,9.060419614
2015-08,Brooklyn,EXP,All,Off-Peak,10159789,132956373.6,13.08652902
2015-08,Brooklyn,EXP,All,Peak,10298925,125393583.6,12.17540506
2015-08,Brooklyn,LCL/LTD,All,Off-Peak,405088756,2991859409,7.385688604
2015-08,Brooklyn,LCL/LTD,All,Peak,206562185,1389304418,6.725841027
2015-08,Brooklyn,SBS,All,Off-Peak,8532185,79159777.2,9.277784905
2015-08,Brooklyn,SBS,All,Peak,4625159,41638636.8,9.002639001
2015-08,Manhattan,LCL/LTD,All,Off-Peak,216505352,1265993320,5.84739965
2015-08,Manhattan,LCL/LTD,All,Peak,109283425,600134558.4,5.491542367
2015-08,Manhattan,SBS,All,Off-Peak,32356325,259744932,8.027640098
2015-08,Manhattan,SBS,All,Peak,16731352,123053983.2,7.35469454
2015-08,Queens,EXP,All,Off-Peak,7982274,115680866.4,14.49221944
2015-08,Queens,EXP,All,Peak,15444740,196730920.8,12.73772953
2015-08,Queens,LCL/LTD,All,Off-Peak,416550782,3921462806,9.414129023
2015-08,Queens,LCL/LTD,All,Peak,222920329,1925793439,8.638931442
2015-08,Staten Island,EXP,All,Off-Peak,29046334,493246450.8,16.98136676
2015-08,Staten Island,EXP,All,Peak,27671744,436853926.8,15.78700377
2015-08,Staten Island,LCL/LTD,All,Off-Peak,51337382,633483144,12.3396075
2015-08,Staten Island,LCL/LTD,All,Peak,28132346,340032693.6,12.08689434
